 Rk,Team,Age,,,,,,,,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Houston Rockets,29.4,,,,,,,,114.7,103.3,99.4,0.291,0.523,0.601,0.561,14.5,22.4,0.234,0.514,14.4,81.8,0.185,Toyota Center,175322
2,Golden State Warriors,29.1,,,,,,,,115.6,104.4,101.5,0.241,0.365,0.618,0.586,14.7,21.7,0.195,0.491,13.4,76.9,0.193,Oracle Arena,215556
3,Toronto Raptors,25.9,,,,,,,,113.5,105.9,98.3,0.26,0.375,0.588,0.554,13.3,21.7,0.204,0.505,14.1,77.4,0.229,Air Canada Centre,198000
4,Boston Celtics,24.5,,,,,,,,108.2,100.7,96.1,0.276,0.366,0.556,0.517,13.2,21.7,0.213,0.491,13.6,80.4,0.176,TD Garden,260736
5,Utah Jazz,27,,,,,,,,107.8,103.7,95.3,0.241,0.369,0.565,0.526,14,20.1,0.196,0.513,16,77.5,0.211,Vivint Smart Home Arena,277156
6,San Antonio Spurs,29.5,,,,,,,,107.1,102.9,94.6,0.244,0.3,0.548,0.511,13.5,24.2,0.192,0.509,13.9,79.6,0.161,AT&T Center,256271
7,Oklahoma City Thunder,27.4,,,,,,,,105.3,102.3,96.7,0.257,0.345,0.53,0.497,13.8,26.3,0.185,0.512,16.9,77.7,0.215,Chesapeake Energy Arena,218436
8,Cleveland Cavaliers,31.5,,,,,,,,113.4,109.9,97.5,0.282,0.39,0.594,0.554,13.6,20.3,0.228,0.531,12.9,76.9,0.173,Quicken Loans Arena,267306
9,Philadelphia 76ers,25.5,,,,,,,,106.4,106.4,101.5,0.27,0.336,0.549,0.516,15.1,26.6,0.197,0.497,12.5,78.7,0.233,Wells Fargo Center,267980
10,Washington Wizards,27,,,,,,,,109,106.4,96.6,0.281,0.299,0.554,0.512,12.7,22.6,0.221,0.511,14.2,75.7,0.215,Capital One Arena,171792
11,Indiana Pacers,26.3,,,,,,,,109.6,108.5,99,0.226,0.293,0.568,0.537,13,21.3,0.175,0.534,13.9,76.3,0.149,Bankers Life Fieldhouse,175732
12,Detroit Pistons,25.7,,,,,,,,108.4,106.7,96.2,0.226,0.338,0.551,0.521,13.4,23.8,0.168,0.527,14.8,77,0.187,Little Caesars Arena,168797
13,Portland Trail Blazers,25.6,,,,,,,,105.5,102.9,97,0.269,0.283,0.538,0.492,13.7,23.9,0.218,0.491,12,81,0.193,Moda Center,267988
14,New York Knicks,26.8,,,,,,,,107.9,107.7,96.2,0.237,0.269,0.554,0.518,14.8,26.7,0.188,0.514,13.1,78.2,0.203,Madison Square Garden (IV),305728
15,Minnesota Timberwolves,27,,,,,,,,111.4,110.8,96.1,0.294,0.269,0.563,0.519,12.8,25.6,0.233,0.545,14.2,76.4,0.166,Target Center,195401
16,New Orleans Pelicans,28.3,,,,,,,,108.6,109.4,100.4,0.252,0.353,0.576,0.546,14.5,20.5,0.188,0.526,13.1,78.1,0.188,Smoothie King Center,195627
17,Charlotte Hornets,26.2,,,,,,,,105.4,106.9,98.8,0.338,0.295,0.534,0.49,12.2,22.7,0.247,0.513,12.2,81,0.176,Spectrum Center,202631
18,Milwaukee Bucks,25.8,,,,,,,,107.7,108.7,95.2,0.276,0.301,0.568,0.534,13.2,17.9,0.206,0.527,15.2,76.2,0.236,BMO Harris Bradley Center,169673
19,Denver Nuggets,24.9,,,,,,,,109.6,110.1,97.8,0.268,0.349,0.555,0.523,13.9,27.2,0.196,0.55,14.4,77.5,0.161,Pepsi Center,201408
20,Memphis Grizzlies,27.4,,,,,,,,104,107.5,93.9,0.275,0.339,0.548,0.504,13.7,18.3,0.22,0.512,14.4,76.8,0.239,FedEx Forum,210164
