Rk,Team,G,,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Toronto Raptors,22,,37.7,84,0.449,9.5,25.9,0.366,28.2,58.1,0.486,19.3,24.8,,9.6,31.5,41.1,22.5,7.6,4.3,15.5,19.9,104.1
2,Houston Rockets,23,,38.5,84.7,0.455,10,28.3,0.354,28.5,56.4,0.505,15.7,20.7,,7.9,32.7,40.6,22.1,7.9,4.7,15.7,20.4,102.7
3,Oklahoma City Thunder,24,,35.6,79.8,0.447,10.4,29.5,0.354,25.2,50.3,0.501,17.2,22.5,,9.1,32.7,41.8,21.2,8,4.9,18.3,20.7,98.9
4,Milwaukee Bucks,23,,37.2,80.7,0.461,10.6,26.5,0.398,26.7,54.1,0.492,19,24.6,,9.6,33.4,43,21.6,6.8,3.4,16.4,19.7,104
5,Portland Trail Blazers,24,,37.6,85.3,0.44,8.6,25,0.343,29,60.3,0.481,16.5,22,,8.5,33.1,41.6,18.2,8,5.8,13,20.3,100.3
6,Memphis Grizzlies,24,,35.9,80,0.449,10,27.4,0.365,25.9,52.6,0.493,19.1,24.3,,9.5,33.5,42.9,20.2,7.1,5.3,15.3,20.7,101
7,San Antonio Spurs,25,,37.4,82.6,0.453,9.1,25.5,0.357,28.3,57,0.496,13.3,18.8,,8.7,32.3,41,21.8,7.7,4.1,14.7,19.6,97.3
8,Charlotte Hornets,23,,39.7,88.4,0.45,11.1,32,0.348,28.6,56.4,0.507,15.6,19.3,,8.6,35.1,43.7,23,7,5,13.5,23.6,106.2
9,Chicago Bulls,23,,39.6,84.4,0.469,11.4,30,0.382,28.2,54.4,0.518,16.2,20.3,,8.1,38,46.1,24.5,7.4,4.3,12.7,15.8,106.8
10,Detroit Pistons,24,,38.6,82.8,0.467,10,26.8,0.374,28.6,56,0.511,15.5,19.9,,9.5,33.2,42.6,24.3,7.4,5.1,15.9,19.3,102.7
11,Los Angeles Clippers,23,,39.1,84,0.466,10.7,28.2,0.381,28.4,55.8,0.509,18.7,23.9,,10.4,33.3,43.7,24.1,8.6,5.1,15.2,22,107.7
12,New York Knicks,24,,37.2,84.2,0.442,12.1,33,0.368,25.1,51.3,0.489,17.1,21.8,,9.5,30,39.5,22.4,8.4,4.9,14.1,20.4,103.6
13,Miami Heat,24,,38.3,83.8,0.457,9.2,24.4,0.377,29.1,59.3,0.49,18.4,23.4,,9.4,34.5,43.9,20.5,8.6,4.7,14.2,18.7,104.2
14,Boston Celtics,26,,36.8,84,0.438,8.8,26.1,0.339,28,58,0.482,14.8,19.5,,8.8,33.4,42.2,20.8,6.8,4.3,14.6,20.3,97.2
15,Sacramento Kings,24,,38.8,81.2,0.477,12.2,31.4,0.389,26.5,49.8,0.533,15.8,20.9,,9.5,34.6,44.1,24.5,8.2,4.1,15.6,18.6,105.5
16,Utah Jazz,26,,36.3,80.2,0.452,9.8,26.6,0.369,26.5,53.6,0.494,16.9,22.2,,9.2,34.2,43.3,18.5,8,4.7,17.1,20.2,99.3
17,Denver Nuggets,24,,41.2,85.4,0.483,11.5,30.1,0.384,29.7,55.3,0.537,13.7,18.6,,9.5,32.4,41.9,24.6,8.3,4.7,15.8,21.2,107.7
18,Dallas Mavericks,25,,37.4,82.1,0.455,11.1,30.3,0.366,26.3,51.8,0.507,17.6,23,,8.8,37.6,46.4,22.6,8.4,4.6,14.4,20.1,103.5
19,Washington Wizards,25,,38.1,83.8,0.455,9.4,27.8,0.338,28.7,56,0.512,18,24,,10.5,33.5,44,21.5,6.8,5,15.6,21.7,103.6
20,Philadelphia 76ers,24,,38.6,88,0.439,10.3,30.5,0.337,28.4,57.6,0.493,20.5,27.1,,10.1,32.9,43,21.2,8.7,5.8,14.3,21.8,108
21,Atlanta Hawks,24,,40.2,85.5,0.471,12.1,33.1,0.365,28.1,52.4,0.537,16.1,21.3,,11.1,34.2,45.3,25.9,8,5.2,17.2,20.2,108.6
22,Los Angeles Lakers,24,,40.9,89.9,0.455,10,29.7,0.337,30.9,60.2,0.514,17.3,22.7,,10.2,35.7,45.9,22.2,8.4,5.6,16.4,21,109.1
23,Brooklyn Nets,24,,41.3,89.7,0.461,10,27.6,0.364,31.3,62.1,0.504,18.8,24.5,,10.3,36.7,47,21.6,8,5.5,14.3,22.2,111.5
24,Indiana Pacers,25,,41.6,88.2,0.472,10.9,30.4,0.36,30.7,57.8,0.531,13.2,18.3,,10.4,33.2,43.5,23.4,7,5.6,15.6,18.2,107.4
25,Cleveland Cavaliers,25,,40.4,87.1,0.464,11.7,31.7,0.369,28.8,55.4,0.519,15,20.3,,10.3,32.6,42.9,24.9,7.7,4.1,14.3,21.7,107.6
26,New Orleans Pelicans,25,,41,88.9,0.462,11.4,31,0.369,29.6,57.9,0.511,16.7,21.3,,9.9,33.8,43.7,23.8,8.8,4.3,14.8,20.5,110.2
27,Golden State Warriors,26,,39.2,90.5,0.433,10.5,29.8,0.352,28.7,60.7,0.473,17.5,23,,10.9,31,41.9,23.5,8.8,4.1,15.6,18.2,106.4
28,Minnesota Timberwolves,26,,41.1,85,0.483,10.6,29.4,0.36,30.5,55.6,0.548,14.1,18.4,,9.7,31.1,40.8,24.3,6.9,5.1,15.5,22,106.8
29,Orlando Magic,26,,41.7,89.7,0.464,9.7,26.5,0.365,32,63.2,0.506,17.8,22.7,,11.3,35.3,46.7,24.9,8.2,4.8,15.1,19.3,110.8
30,Phoenix Suns,27,,42.5,90.2,0.471,10.8,28.5,0.38,31.7,61.7,0.513,19.6,25.9,,10.5,35.4,45.9,23.4,9,5.2,14.3,22.8,115.4
