Winner,Visitor,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Home,OFG%,O3P%,O2P%,OFT%,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPTS
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,16,0.45,0.364,0.485,0.755458515283843,12.3,33.9,22.3,7.3,3.8,16.3,22.1,102.3
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,17,0.428,0.337,0.458,0.763265306122449,11.7,32.8,21,8.3,3.6,16.2,18.8,99.9
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,19,0.442,0.349,0.481,0.739299610894942,10.6,32.3,23.2,6.7,3,14.3,21.5,100.1
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,9,0.433,0.349,0.465,0.738396624472574,10,31.7,19.9,8,4.3,14,19.6,97.8
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,18,0.459,0.346,0.501,0.731914893617021,11.2,31.2,22.8,6.9,5,14.4,20.3,100.9
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,21,0.444,0.36,0.468,0.742990654205608,9.9,32.2,20.7,7.9,4.4,14.2,19.7,97
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,11,0.456,0.335,0.494,0.757009345794392,10.6,30.9,20.7,6.8,5.8,12.2,18.7,98.6
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,30,0.439,0.338,0.468,0.755980861244019,11,33.6,20.4,8,3.6,12.2,18.7,98.6
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,25,0.435,0.345,0.465,0.235869565217391,9.8,33,19.9,7.5,4.7,12.7,21.4,97
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,20,0.45,0.336,0.49,0.755364806866953,10.9,33.8,21.9,7.1,5.3,15.1,18.8,101.2
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,5,0.456,0.358,0.494,0.732394366197183,11.4,32.9,23.7,7.8,4.5,13.9,20,100.9
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,22,0.456,0.355,0.491,0.772946859903382,10.7,33.4,23.8,7,4.8,14,19.3,99.5
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,23,0.442,0.351,0.478,0.741293532338308,10.5,31.9,20.1,7.4,5.2,15.3,20.3,95.1
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,24,0.446,0.362,0.474,0.235869565217391,9.9,29.3,19.4,8.2,4.7,13.1,19.6,94.9
