Winner,Visitor/Neutral,Home/Neutral
0,New York Knicks,Cleveland Cavaliers
1,San Antonio Spurs,Golden State Warriors
0,Utah Jazz,Portland Trail Blazers
0,Brooklyn Nets,Boston Celtics
0,Dallas Mavericks,Indiana Pacers
0,Houston Rockets,Los Angeles Lakers
0,Minnesota Timberwolves,Memphis Grizzlies
1,Charlotte Hornets,Milwaukee Bucks
1,Denver Nuggets,New Orleans Pelicans
1,Miami Heat,Orlando Magic
1,Oklahoma City Thunder,Philadelphia 76ers
1,Sacramento Kings,Phoenix Suns
0,Detroit Pistons,Toronto Raptors
0,Washington Wizards,Atlanta Hawks
0,Boston Celtics,Chicago Bulls
1,Los Angeles Clippers,Portland Trail Blazers
1,San Antonio Spurs,Sacramento Kings
0,Indiana Pacers,Brooklyn Nets
1,Houston Rockets,Dallas Mavericks
0,Orlando Magic,Detroit Pistons
1,Charlotte Hornets,Miami Heat
1,Golden State Warriors,New Orleans Pelicans
0,Phoenix Suns,Oklahoma City Thunder
1,Cleveland Cavaliers,Toronto Raptors
0,Los Angeles Lakers,Utah Jazz
0,Indiana Pacers,Chicago Bulls
1,Boston Celtics,Charlotte Hornets
0,Orlando Magic,Cleveland Cavaliers
1,Portland Trail Blazers,Denver Nuggets
0,Brooklyn Nets,Milwaukee Bucks
0,Memphis Grizzlies,New York Knicks
1,Atlanta Hawks,Philadelphia 76ers
0,Minnesota Timberwolves,Sacramento Kings
0,New Orleans Pelicans,San Antonio Spurs
0,Milwaukee Bucks,Detroit Pistons
0,Dallas Mavericks,Houston Rockets
0,Utah Jazz,Los Angeles Clippers
0,Washington Wizards,Memphis Grizzlies
1,San Antonio Spurs,Miami Heat
0,Los Angeles Lakers,Oklahoma City Thunder
1,Golden State Warriors,Phoenix Suns
0,Sacramento Kings,Atlanta Hawks
1,Chicago Bulls,Brooklyn Nets
0,Phoenix Suns,Los Angeles Clippers
0,Denver Nuggets,Toronto Raptors
0,Houston Rockets,Cleveland Cavaliers
0,New York Knicks,Detroit Pistons
0,Los Angeles Lakers,Indiana Pacers
0,Sacramento Kings,Miami Heat
0,Memphis Grizzlies,Minnesota Timberwolves
1,Milwaukee Bucks,New Orleans Pelicans
1,Orlando Magic,Philadelphia 76ers
1,Golden State Warriors,Portland Trail Blazers
1,Utah Jazz,San Antonio Spurs
1,Los Angeles Lakers,Atlanta Hawks
0,Chicago Bulls,Boston Celtics
0,Detroit Pistons,Brooklyn Nets
0,Philadelphia 76ers,Charlotte Hornets
1,Oklahoma City Thunder,Los Angeles Clippers
0,New Orleans Pelicans,Memphis Grizzlies
1,Houston Rockets,New York Knicks
0,Portland Trail Blazers,Phoenix Suns
0,Dallas Mavericks,Utah Jazz
1,Toronto Raptors,Washington Wizards
0,Boston Celtics,Cleveland Cavaliers
0,Oklahoma City Thunder,Golden State Warriors
0,Indiana Pacers,Milwaukee Bucks
1,Denver Nuggets,Minnesota Timberwolves
0,Sacramento Kings,Orlando Magic
1,Charlotte Hornets,Brooklyn Nets
1,New York Knicks,Chicago Bulls
1,Portland Trail Blazers,Dallas Mavericks
0,Golden State Warriors,Los Angeles Lakers
1,Los Angeles Clippers,Memphis Grizzlies
1,Phoenix Suns,New Orleans Pelicans
0,Miami Heat,Toronto Raptors
1,San Antonio Spurs,Utah Jazz
0,Atlanta Hawks,Washington Wizards
0,Houston Rockets,Atlanta Hawks
0,Denver Nuggets,Detroit Pistons
0,Chicago Bulls,Indiana Pacers
0,Sacramento Kings,Milwaukee Bucks
0,Minnesota Timberwolves,Oklahoma City Thunder
0,Washington Wizards,Orlando Magic
1,Cleveland Cavaliers,Philadelphia 76ers
1,Los Angeles Clippers,San Antonio Spurs
1,Denver Nuggets,Boston Celtics
0,Milwaukee Bucks,Dallas Mavericks
0,Phoenix Suns,Los Angeles Lakers
1,Portland Trail Blazers,Memphis Grizzlies
1,Utah Jazz,New York Knicks
1,Sacramento Kings,Toronto Raptors
0,Orlando Magic,Chicago Bulls
0,Indiana Pacers,Charlotte Hornets
0,New Orleans Pelicans,Golden State Warriors
0,Detroit Pistons,Los Angeles Clippers
0,Miami Heat,Oklahoma City Thunder
1,Utah Jazz,Philadelphia 76ers
1,Houston Rockets,Washington Wizards
0,Minnesota Timberwolves,Brooklyn Nets
1,Atlanta Hawks,Cleveland Cavaliers
1,Dallas Mavericks,Los Angeles Lakers
0,Denver Nuggets,Memphis Grizzlies
0,Phoenix Suns,Portland Trail Blazers
0,New Orleans Pelicans,Sacramento Kings
0,Chicago Bulls,Atlanta Hawks
0,Utah Jazz,Charlotte Hornets
0,Dallas Mavericks,Golden State Warriors
0,Philadelphia 76ers,Indiana Pacers
0,Portland Trail Blazers,Los Angeles Clippers
0,Brooklyn Nets,New York Knicks
1,Toronto Raptors,Oklahoma City Thunder
1,Minnesota Timberwolves,Orlando Magic
0,Detroit Pistons,Phoenix Suns
1,Houston Rockets,San Antonio Spurs
0,Boston Celtics,Washington Wizards
1,Golden State Warriors,Denver Nuggets
1,Chicago Bulls,Miami Heat
1,New Orleans Pelicans,Milwaukee Bucks
1,Los Angeles Lakers,Sacramento Kings
0,New York Knicks,Boston Celtics
1,Toronto Raptors,Charlotte Hornets
1,Los Angeles Clippers,Oklahoma City Thunder
1,Utah Jazz,Orlando Magic
0,Indiana Pacers,Philadelphia 76ers
0,Sacramento Kings,Portland Trail Blazers
