Team,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
Golden State Warriors,0.495,0.383,0.557,0.788,9.4,35,30.4,9.6,6.8,14.8,19.3,115.9,
Houston Rockets,0.462,0.357,0.552,0.766,10.9,33.5,25.2,8.2,4.3,15.1,19.9,115.3,
Denver Nuggets,0.469,0.368,0.519,0.774,11.8,34.6,25.3,6.9,3.9,15,19.1,111.7,
Cleveland Cavaliers,0.47,0.384,0.528,0.748,9.3,34.4,22.7,6.6,4,13.7,18.1,110.3,
Washington Wizards,0.475,0.372,0.515,0.784,10.3,32.6,23.9,8.5,4.1,14.2,21.3,109.2,
Los Angeles Clippers,0.475,0.375,0.525,0.745,9,34,22.5,7.5,4.2,13,19.8,108.7,
Boston Celtics,0.454,0.359,0.515,0.807,9.1,32.9,25.2,7.5,4.1,13.3,20.6,108,
Portland Trail Blazers,0.459,0.375,0.499,0.78,10.1,33.5,21.1,7,5,13.7,21.2,107.9,
Phoenix Suns,0.45,0.332,0.491,0.776,11.9,33.1,19.6,8.2,4.9,15.4,24.8,107.7,
Toronto Raptors,0.464,0.363,0.505,0.796,10.6,32.6,18.5,8.3,4.9,12.7,20.8,106.9,
Oklahoma City Thunder,0.452,0.327,0.504,0.745,12.2,34.4,21,7.9,5,15,20.9,106.6,
Brooklyn Nets,0.444,0.338,0.506,0.788,8.8,35.1,21.4,7.2,4.7,16.5,21,105.8,
Minnesota Timberwolves,0.467,0.349,0.507,0.799,11.4,31,23.7,8,4.5,14,20.1,105.6,
San Antonio Spurs,0.469,0.391,0.5,0.797,10,33.9,23.8,8,5.9,13.4,18.3,105.3,
Indiana Pacers,0.465,0.376,0.498,0.81,9,33,22.5,8.2,5,13.8,19.5,105.1,
Charlotte Hornets,0.442,0.351,0.488,0.815,8.8,34.8,23.1,7,4.8,11.5,16.6,104.9,
Los Angeles Lakers,0.45,0.346,0.493,0.754,11.4,32.1,20.9,8.2,3.9,15.2,20.7,104.6,
New Orleans Pelicans,0.45,0.35,0.495,0.75,8.6,35.1,22.8,7.8,5.5,12.9,18.2,104.3,
New York Knicks,0.447,0.348,0.485,0.788,12,33.2,21.8,7.1,5.5,13.9,20.3,104.3,
Milwaukee Bucks,0.474,0.37,0.516,0.768,8.8,31.6,24.2,8.1,5.3,14,20.2,103.6,
Miami Heat,0.455,0.365,0.496,0.706,10.6,33,21.2,7.2,5.7,13.4,20.5,103.2,
Atlanta Hawks,0.451,0.341,0.501,0.728,10.3,34.1,23.6,8.2,4.8,15.8,18.2,103.2,
Chicago Bulls,0.444,0.34,0.479,0.798,12.2,34.1,22.6,7.8,4.8,13.6,17.7,102.9,
Sacramento Kings,0.461,0.376,0.496,0.775,8.7,32.3,22.5,7.6,4,14.6,20.3,102.8,
Philadelphia 76ers,0.442,0.34,0.496,0.771,9.8,33,23.8,8.4,5.1,16.7,21.9,102.4,
Detroit Pistons,0.449,0.33,0.492,0.719,11.1,34.6,21.1,7,3.8,11.9,17.9,101.3,
Orlando Magic,0.44,0.328,0.488,0.747,9.8,33.3,22.2,7.1,4.8,13.3,19.3,101.1,
Utah Jazz,0.466,0.372,0.511,0.747,9.4,33.8,20.1,6.7,5,13.6,18.8,100.7,
Memphis Grizzlies,0.435,0.354,0.473,0.784,10.8,32,21.3,8,4.2,12.9,22.4,100.5,
Dallas Mavericks,0.44,0.355,0.489,0.801,7.9,30.7,20.8,7.5,3.7,11.9,19.1,97.9,
League Average,0.457,0.358,0.503,0.772,10.1,33.4,22.6,7.7,4.7,14,19.9,105.6,
